PluginID;Name;Type
5165;Tube;Object
5166;Figure;Command
5166;Figure;Object
5167;Pyramid;Object
5167;Pyramid;Command
5168;Plane;Object
5168;Plane;Command
5169;Landscape;Command
5169;Landscape;Object
5170;Cylinder;Object
5170;Cylinder;Command
5171;Capsule;Object
5171;Capsule;Command
5172;Oil Tank;Command
5172;Oil Tank;Object
5173;Relief;Command
5173;Relief;Object
5174;Polygon;Object
5174;Polygon;Command
5175;Profile;Object
5175;Profile;Command
5176;Flower;Command
5176;Flower;Object
5177;Formula;Command
5177;Formula;Object
5178;Text Spline;Object
5178;Text Spline;Command
5179;n-Side;Object
5179;n-Side;Command
5180;4-Side;Command
5180;4-Side;Object
5181;Circle;Object
5181;Circle;Command
5182;Arc;Command
5182;Arc;Object
5183;Cissoid;Command
5183;Cissoid;Object
5184;Cycloid;Command
5184;Cycloid;Object
5185;Helix;Command
5185;Helix;Object
5186;Rectangle;Object
5186;Rectangle;Command
5187;Star;Command
5187;Star;Object
5188;Cogwheel;Object
5188;Cogwheel;Command
5189;Vectorizer;Command
5189;Vectorizer;Object
5190;Selection;Command
5190;Selection;Object
5612;Phong;Command
5613;Display;Command
5616;Material;Command
5629;Protection;Command
5636;Motion Blur;Command
5637;Compositing;Command
5650;SaveTemp;Tag
5650;SaveTemp;Command
5671;UVW;Command
5673;Polygon Selection;Command
5674;Point Selection;Command
5676;Target;Command
5678;Sun Expression;Tag
5678;Sun Expression;Command
5682;Vertex Map;Command
5683;Restriction;Command
5684;Metaball;Command
5685;Bake Particle;Command
5688;DXFTemp;Tag
5688;DXFTemp;Command
5690;Pin Material;Command
5693;Stop;Command
5698;Vibrate;Tag
5698;Vibrate;Command
5699;Align to Spline;Command
5699;Align to Spline;Tag
5700;Align to Path;Tag
5700;Align to Path;Command
5701;Edge Selection;Command
5711;Normal;Command
5800;Checkerboard;Shader
5802;Cloud;Shader
5803;Fire;Shader
5804;Brick;Shader
5806;Simple Turbulence;Shader
5807;Simple Noise;Shader
5808;Starfield;Shader
5813;Galaxy;Shader
5816;Stars;Shader
5817;Flame;Shader
5818;Water;Shader
5820;Sunburst;Shader
5821;Cyclone;Shader
5823;Wood;Shader
5825;Earth;Shader
5826;Venus;Shader
5827;Metal;Shader
5828;Rust;Shader
5829;Planet;Shader
5830;Marble;Shader
5831;Spectral;Shader
5832;Color;Shader
5833;Bitmap;Shader
8803;Fog;2
8808;Terrain;2
10146;Structure Manager;21
10214;Console;21
12002;Stop;Command
12077;Perspective;Command
12078;Parallel;Command
12079;Left;Command
12080;Right;Command
12081;Front;Command
12082;Back;Command
12083;Top;Command
12084;Bottom;Command
12085;Military;Command
12086;Frog;Command
12087;Bird;Command
12088;Gentleman;Command
12089;Isometric;Command
12090;Dimetric;Command
12091;Gouraud Shading;Command
12092;Quick Shading;Command
12093;Wireframe;Command
12094;New;Command
12095;Open...;Command
12096;Merge...;Command
12097;Close;Command
12098;Save;Command
12099;Render to Picture Viewer;Command
12100;Camera;Command
12101;Object;Command
12102;Enable Axis;Command
12103;About;Command
12104;Quit;Command
12105;Undo;Command
12106;Cut;Command
12107;Copy;Command
12108;Paste;Command
12109;Delete;Command
12112;Select All;Command
12113;Deselect All;Command
12130;Adapt to Object Axis;Command
12131;Adapt to World Axis;Command
12132;Fit to Object;Command
12133;Adapt to View;Command
12134;Mirror Horizontally;Command
12135;Mirror Vertically;Command
12139;Points;Command
12141;Reverse Sequence;Command
12142;Set First Point;Command
12144;Connect Objects;Command
12147;Redraw;Command
12148;Frame Geometry;Command
12149;Frame Default;Command
12150;Magnify;Command
12151;Frame Selected Objects;Command
12153;X-Axis / Pitch;Command
12154;Y-Axis / Heading;Command
12155;Z-Axis / Bank;Command
12156;Coordinate System;Command
12159;Material Manager;Command
12161;Render Settings;21
12161;Render Settings;Command
12162;Render Selection;Command
12163;Render Viewport;Command
12165;Render Region;Command
12167;Save All Materials as...;Command
12168;Delete Unused Materials;Command
12169;Apply;Command
12184;Texture;Command
12187;Polygons;Command
12188;Structure Manager;Command
12190;Hard Interpolation;Command
12191;Soft Interpolation;Command
12192;Fit to Image...;Command
12193;Fit to Region;Command
12194;Animation;Command
12196;Empty Spline;Command
12201;Selected Object as Camera;Command
12202;Default Camera;Command
12203;Edit...;Command
12211;Delete Duplicate Materials;Command
12218;Save As...;Command
12221;Rename...;Command
12233;Current State to Object;Command
12235;Generate UVW Coordinates;Command
12236;Make Editable;Command
12252;Render Materials;Command
12253;Render All Materials;Command
12255;Save Project with Assets...;Command
12270;Revert to Saved...;Command
12287;Configure;Command
12288;Frame All;Command
12294;Select Area;Command
12297;Redo;Command
12298;Model;Command
12305;Console;Command
12317;Reset Scale;Command
12333;Sort Materials;Command
12372;Bake Particles...;Command
12373;Scene Settings;Command
12374;Invert Selection;Command
12390;Close All;Command
12391;Save All;Command
12392;Close Window;Command
12409;Execute Last Plugin;Command
12410;Record Active Objects;Command
12411;Play Backwards;Command
12412;Play Forwards;Command
12413;Go to Previous Frame;Command
12414;Go to Next Frame;Command
12415;Go to Previous Key;Command
12416;Go to Next Key;Command
12417;Position;Command
12418;Scale;Command
12419;Rotation;Command
12421;Point Level Animation;Command
12422;Parameter;Command
12423;Preview Range;Command
12424;All Frames;Command
12425;Autokeying;Command
12426;Simple;Command
12427;Cycle;Command
12428;Ping-Pong;Command
12429;1;Command
12430;500;Command
12431;5;Command
12432;10;Command
12433;15;Command
12434;18;Command
12435;24;Command
12436;25;Command
12437;30;Command
12438;60;Command
12439;100;Command
12440;250;Command
12441;Scene;Command
12443;50;Command
12458;Go to Frame...;Command
12473;Hide Selected;Command
12474;Hide Unselected;Command
12475;Show All;Command
12476;Invert Visibility;Command
12477;Undo View;Command
12478;Redo View;Command
12479;Invert;Command
12497;Box;Command
12498;Skeleton;Command
12499;Tags;Command
12500;Linear Workflow Shading;Command
12501;Go to Start;Command
12502;Go to End;Command
12504;Jump Next Selection;Command
12505;Jump Last Selection;Command
12506;Jump Page Up;Command
12507;Jump Page Down;Command
12508;Jump Home;Command
12509;Jump End;Command
12519;Target Camera;Command
12520;Target Light;Command
12530;Points;Command
12532;Polygons;Command
12534;UVWs;Command
12539;Isoparms;Command
12540;Lines;Command
12541;Undock;Command
12543;Maximize;Command
12544;New View Panel;Command
12552;Store Selection;Command
12557;Select Connected;Command
12558;Grow Selection;Command
12559;Shrink Selection;Command
12562;Move Down Sequence;Command
12563;Move Up Sequence;Command
12566;Equal Tangent Length;Command
12567;Equal Tangent Direction;Command
12568;Join Segment;Command
12569;Break Segment;Command
12577;2D Tracks;Command
12664;Close;Command
12668;Global Status Bar;Command
12670;Load Layout...;Command
12671;Fold Palette;Command
12672;Save as Startup Layout;Command
12673;Save Layout as...;Command
12676;Load Palette...;Command
12677;Save Palette as...;Command
12679;Locks texture;Command
12681;Length;Command
12682;Direction;Command
13015;New Standard Material;Command
13016;New Line;Command
13017;Load Materials...;Command
13018;Import ASCII Data...;Command
13020;Save Materials as...;Command
13021;Export ASCII Data...;Command
13038;Frame Selected Elements;Command
13039;Empty Polygon;Command
13316;Explode Segments;Command
13320;Undo (Action);Command
13321;Toggle Selection Tool;Command
13322;Toggle Modeling Mode;Command
13323;Select All;Command
13324;Deselect All;Command
13364;Backface Culling;Command
13365;Materials;Command
13375;New Palette;Command
13521;Use Animation;Command
13522;Use Expressions;Command
13523;Use Generators;Command
13524;Use Deformers;Command
13541;Sun Light;Command
13543;Copy Text;Command
13544;Cut Text;Command
13545;Paste Text;Command
13546;Delete Text;Command
13553;Convert to Tab;Command
13563;Move Camera;Command
13564;Scale Camera;Command
13565;Orbit Camera;Command
13566;Move Object;Command
13567;Scale Object;Command
13568;Rotate Object;Command
13569;Scale Modeling;Command
13570;Magnify;Command
13571;Free Selection;Command
13572;Brush Selection;Command
13573;Rectangle Selection;Command
13577;Assign UVW Coordinates;Command
13603;Modeling Pop-up;Command
13604;Snapping;Command
13620;Single View;Command
13621;2 Views Stacked;Command
13622;2 Views Side-by-Side;Command
13623;3 Views Top Split;Command
13624;3 Views Bottom Split;Command
13625;3 Views Left Split;Command
13626;3 Views Right Split;Command
13627;4 Views;Command
13628;4 Views Top Split;Command
13629;4 Views Bottom Split;Command
13630;4 Views Left Split;Command
13631;4 Views Right Split;Command
13632;4 Views Stacked;Command
13633;4 Views Side-by-Side;Command
13635;View 1;Command
13636;View 2;Command
13637;View 3;Command
13638;View 4;Command
13639;All Views;Command
13640;Toggle Active View;Command
13643;Change Orientation;Command
13644;1;Command
13645;2;Command
13646;3;Command
13647;4;Command
13648;5;Command
13649;6;Command
13650;7;Command
13651;8;Command
13652;9;Command
13653;Icons;Command
13654;Text;Command
13655;Text below Icons;Command
13656;Original Size;Command
13657;Large Icons;Command
13658;Small Icons;Command
13659;Medium Icons;Command
13663;X-Ray;Command
13680;License Manager;Command
13684;Unfold Palette;Command
13740;Customize Palettes;Command
13746;Menu Manager;Command
13770;Set Vertex Weight...;Command
13857;Next Scene;Command
13858;Previous Scene;Command
13859;Low;Command
13860;Medium;Command
13861;High;Command
13862;Editor On;Command
13863;Editor Off;Command
13864;Editor Unchanged;Command
13865;Renderer On;Command
13866;Renderer Off;Command
13867;Renderer Unchanged;Command
13899;Vertex Map;Command
13900;General Pop-up;Command
13906;Lock Icon;Command
13931;Use as Render View;Command
13940;Toggle Parent Generator;Command
13957;Clear Console;Command
13964;Use Render LOD for Viewport Rendering;Command
14003;Create Outline;Command
14004;Cross-Section;Command
14006;Straighten;Command
14011;Scene Info;Command
14023;Align Normals;Command
14027;Center;Command
14029;Disconnect;Command
14038;Mirror;Command
14039;Optimize;Command
14041;Reverse Normals;Command
14046;Split;Command
14047;Subdivide;Command
14048;Triangulate;Command
14050;Untriangulate;Command
14063;Zoom In;Command
14064;Zoom Out;Command
14082;Rename...;Command
16194;Flush Illumination Caches;Command
16297;Scroll To Selection;Command
16298;Select Materials of Active Objects;Command
16351;Edges;Command
16367;Weight Subdivision Surface;Command
16368;Timewarp;Command
16370;Select Material Tags/Objects;Command
16377;Maxon Support;Command
16388;Select Children;Command
16391;Play Sound;Command
16430;Show Tracks;Command
16546;Link XYZ Sub-channels;Command
16547;Show F-Curves;Command
16554;New Group Window;Command
16716;Break Phong Shading;Command
16717;Unbreak Phong Shading;Command
16718;Select Broken Phong Edges;Command
16725;Load Textures;Command
16726;Unload Textures;Command
16739;Mini Icons;Command
16740;Small Icons;Command
16741;Medium Icons;Command
16742;Large Icons;Command
16744;Color;Command
16745;Diffusion;Command
16746;Luminance;Command
16747;Transparency;Command
16748;Reflection;Command
16749;Environment;Command
16750;Bump;Command
16751;Alpha;Command
16752;Specular;Command
16753;Displacement;Command
16765;Normal;Command
16766;Custom...;Command
16767;Show Motions;Command
16768;Connect Objects + Delete;Command
16773;Dynamic;Command
16774;Off;Command
16775;Document Mode;Command
16776;Active Tool;Command
16777;Active Object Type;Command
16778;Script;Command
16779;Copy Palette;Command
16780;Paste Palette;Command
16781;Clear Palette;Command
17006;Cinema 4D Menu;Command
17007;BodyPaint 3D Menu;Command
17008;User Menu 1;Command
17009;User Menu 2;Command
17010;User Menu 3;Command
17011;User Menu 4;Command
17012;User Menu 5;Command
17013;Material;Command
17014;Material List;Command
17015;Layer Manager (Compact);Command
17016;Layer Manager (Expanded/Compact);Command
17017;Layer Manager (Expanded);Command
17018;Layer Manager (Active Texture);Command
17038;UV Mode;Command
17040;Magnet;Command
17041;Non-Uniform Scale;Command
17042;Shear U;Command
17043;Shear V;Command
17105;Gouraud Shading (Lines);Command
17106;Constant Shading;Command
17107;Quick Shading (Lines);Command
17108;Hidden Line;Command
17112;N-Gons;Command
17124;Show Window Title;Command
17136;Rotate Modeling Axis;Command
17137;Move Modeling Axis;Command
17138;Configure All;Command
17169;Disable Axis Handles;Command
17190;Show Help;Command
17192;Snap Pop-up;Command
17201;Constant Shading (Lines);Command
17258;Enable 3D Paint;Command
17259;Disable 3D Paint;Command
17301;Full-Screen Mode;Command
17305;Independent Window;Command
17380;Show Logo;Command
17423;Effects;Command
17424;Transparency;Command
17425;Shadows;Command
17426;Post Effects;Command
17427;Layer Color;Command
17533;Layers in Single Line;Command
17551;HQ Noises;Command
17552;Lock Layout;Command
17580;Edit Script;Command
17733;Full-Screen (Group) Mode;Command
17734;Visible in Full-Screen Mode;Command
17863;Stereoscopic;Command
17891;Polygon Islands to Objects;Command
17892;Change Point Order;Command
17934;Top;Command
17935;Left;Command
17936;Right;Command
17972;Workplane;Command
17983;Do not Mirror;Command
17984;Switch R2L;Command
17999;Normals;Command
18063;Select Materials with same Reflectance;Command
18065;Vertex Colors;Command
18067;SDS Weights per Vertex;Command
18068;SDS Weights per Edge;Command
18069;Tessellation;Command
18070;SSAO;Command
18071;Reflections;Command
18159;Configure Similar;Command
18160;All;Command
18161;None;Command
18162;Load Filter Preset;Command
18163;Save Preset...;Command
18164;Null;Command
18165;Polygon;Command
18166;Spline;Command
18167;Generator;Command
18168;Subdivision Surface;Command
18169;Deformer;Command
18170;Camera;Command
18171;Light;Command
18172;Environment;Command
18173;Particle;Command
18174;Other;Command
18175;Workplane;Command
18176;Horizon;Command
18177;World Axis;Command
18178;HUD;Command
18179;SDS Mesh;Command
18180;Component Highlighting;Command
18181;Multi-Select Axes;Command
18182;Axis;Command
18183;SDS Cage;Command
18184;N-gon Lines;Command
18185;Joint;Command
18186;Ghosting;Command
18187;Guides;Command
18188;Object Highlighting;Command
18189;World Grid;Command
18190;Handles;Command
18191;Hair;Command
18192;Field;Command
18193;Animation Path;Command
18194;Geometry Only;Command
18195;Default;Command
18203;Magic Bullet Looks;Command
18206;Safe Frames;Command
18207;Geometry Only Playback;Command
18209;Create;Command
18243;Lines on Shading;Command
18247;Model Menu;Command
18249;Sculpt Menu;Command
18273;Renderer;Command
18470;Show Camera Attributes;Command
50000;Render Settings;Command
51000;Scenes;Command
52000;Recent Files;Command
53000;Plugins;Command
55000;Use Camera;Command
56000;Switch Layout;Command
57000;Restore Selection;Command
58000;Material Extensions;Command
59000;Node Material Presets;Command
59000;Viewport;21
59500;Texture View;21
60000;Export Formats;Command
65000;Scripts;Command
66000;Keyframe Selection;Command
69000;Selection Filter;Command
70000;Display Filter;Command
71000;Reflectance Layers;Command
72000;Node Spaces;Command
74000;Export Plugins;Command
150013;3D Painting mode;Command
150041;Material Manager;21
160000;Texture List;Command
164000;Bitmap Filter;Command
165000;Connected UVs;Command
170000;New Texture...;Command
170001;Open Texture...;Command
170002;Revert Texture to Saved;Command
170003;Close Texture;Command
170004;Save Texture;Command
170005;Save Texture as...;Command
170006;Save Texture as Copy...;Command
170007;Copy Merged;Command
170009;Show UV Mesh;Command
170022;Mirror U;Command
170023;Mirror V;Command
170025;Fit to Screen;Command
170026;Zoom 100%;Command
170027;Zoom In;Command
170028;Zoom Out;Command
170029;Set Zoom...;Command
170036;No Icons;Command
170037;Small Icons;Command
170038;Medium Icons;Command
170039;Large Icons;Command
170050;New Layer;Command
170051;Add Layer Mask;Command
170052;Duplicate Layer;Command
170053;Delete Layer;Command
170054;Flatten Layers;Command
170055;Flatten Visible Layers;Command
170056;Merge Layer Down;Command
170057;Merge Linked;Command
170058;Selection from Layer;Command
170059;New Alpha Channel;Command
170060;Convert to Grayscale;Command
170061;Convert to RGB;Command
170063;Revert to Saved Texture...;Command
170064;Bitmap Properties;Command
170066;New Group...;Command
170070;Load Brushes...;Command
170071;Export Selection...;Command
170074;Rename...;Command
170076;Delete;Command
170077;As List;Command
170078;As Icon;Command
170079;Small Icons;Command
170080;Medium Icons;Command
170081;Large Icons;Command
170082;New Group...;Command
170086;Import BodyPaint 3D Presets...;Command
170087;Export Selection...;Command
170090;Rename...;Command
170092;Delete;Command
170093;As List;Command
170094;As Icon;Command
170095;Small Icons;Command
170096;Medium Icons;Command
170097;Large Icons;Command
170098;Add Single Channel Preset...;Command
170100;Copy;Command
170101;Paste;Command
170102;Save Brush...;Command
170103;Texture UV Editor;Command
170105;Color Settings;Command
170107;Color Swatches;Command
170108;Layer Manager;Command
170109;Preview: Color;Command
170110;Preview: Diffusion;Command
170111;Preview: Luminance;Command
170112;Preview: Transparency;Command
170113;Preview: Reflection;Command
170114;Preview: Environment;Command
170115;Preview: Bump;Command
170116;Preview: Alpha;Command
170117;Preview: Specular;Command
170118;Preview: Displacement;Command
170119;Multi Channel Mode;Command
170120;Close All Textures;Command
170121;Save All Textures;Command
170122;Select Circle;Command
170123;Select Rectangle;Command
170124;Select Polylines;Command
170125;Select Lasso;Command
170126;Magic Wand;Command
170127;Select Color Range;Command
170128;Select All;Command
170129;Deselect All;Command
170130;Invert Selection;Command
170131;Move Layer;Command
170132;Magnify;Command
170133;Eyedropper;Command
170134;Brush;Command
170135;Clone Tool;Command
170136;Eraser;Command
170137;Fill Bitmap;Command
170138;Transform Bitmap;Command
170139;Draw Line;Command
170140;Draw Text;Command
170141;Draw Polygon Shape;Command
170145;Texture Size...;Command
170146;Canvas Size...;Command
170147;Rotate Texture...;Command
170148;Flip Texture Horizontal...;Command
170149;Flip Texture Vertical...;Command
170150;Fill Layer;Command
170151;Fill Polygons;Command
170152;Outline Polygons;Command
170153;Create Mask from Selection;Command
170154;Display Selected Channel;Command
170155;Tile U;Command
170156;Tile V;Command
170157;Clear Bitmap;Command
170220;Edit Selection Mask;Command
170221;Remap...;Command
170222;Store UV;Command
170223;Restore UV;Command
170224;Start Interactive Mapping;Command
170225;Stop Interactive Mapping;Command
170228;Reset UV;Command
170229;Fit Canvas to UV;Command
170230;Add Multi Channel Preset...;Command
170231;Add Selection to Layer Mask;Command
170232;Subtract Selection from Layer Mask;Command
170238;Selection from Layer (Add);Command
170239;Selection from Layer (Sub);Command
170340;Paste into Selection;Command
170437;Feather...;Command
170438;Grow Selection...;Command
170439;Shrink Selection...;Command
170442;Undo (Texture);Command
170443;Execute Last Filter;Command
170567;Crop Texture...;Command
170573;Empty Canvas;Command
170576;Projection Painting;Command
170592;Gradient Tool;Command
170603;As List;Command
170604;As Icon;Command
170605;Small Icons;Command
170606;Medium Icons;Command
170607;Large Icons;Command
170612;Edit Spline Tool;Command
170613;Apply Projection;Command
170614;Discard Projection;Command
170615;Toggle Fore-/Background;Command
170620;Hide Selection;Command
170624;Preview: Active Channel;Command
170625;Paint Setup Wizard;Command
170639;Increase Brush Size;Command
170640;Decrease Brush Size;Command
170641;Increase Brush Hardness;Command
170642;Decrease Brush Hardness;Command
170643;Increase Brush Pressure;Command
170644;Decrease Brush Pressure;Command
170645;Rotate Brush Clockwise;Command
170646;Rotate Brush Counterclockwise;Command
170647;Dodge Tool;Command
170648;Burn Tool;Command
170649;Smear Tool;Command
170650;Sponge Tool;Command
170657;Convert to 8-bit / Channel;Command
170658;Convert to 16-bit / Channel;Command
170659;Convert to 32-bit / Channel;Command
170664;New Layer Set;Command
170667;Detach Projection Plane;Command
170674;Preview: Normal;Command
170686;Freeze 3D View;Command
170687;Merge Texture...;Command
170694;New Library...;Command
170695;Save;Command
170696;Save as...;Command
170697;Show in Content Browser;Command
170698;Show in Content Browser;Command
170699;New Library...;Command
170703;Project on Hidden Polygons;Command
170704;Define Brush Preset...;Command
170705;Define Color Preset...;Command
170706;Define Wallpaper Preset...;Command
170723;Create UV Mesh Layer;Command
170724;Blur Tool;Command
170725;Sharpen Tool;Command
170726;Colorize Tool;Command
170730;Show Tiled Texture;Command
170734;Convert To Profile...;Command
170735;Assign Profile...;Command
170755;HUD;Command
170756;Canvas Axis;Command
170757;Editor Axis;Command
170758;UV Units;Command
170759;UV Component Highlighting;Command
170760;Overlapping Polygons;Command
170761;UV Map;Command
170762;Distortion;Command
170763;Multi-Color Islands;Command
170764;Configure;Command
170765;Configure All;Command
170766;UV Seams;Command
170767;UV Connectivity;Command
170768;Filled Polygons;Command
170769;UV Pins;Command
170773;Show UV Display;Command
170774;Lines;Command
170775;UV No Boundaries;Command
170776;UV Grid;Command
170777;Align UV Islands;Command
170781;Frame Selected UV Elements;Command
170782;Frame Selected UV Islands;Command
202520;New PBR Material;Command
202522;PBR Light;Command
202535;Online Learning;Command
202536;Spot Light;Command
202537;Area Light;Command
202538;Infinite Light;Command
202539;Save Incremental;Command
202540;Save as Template;Command
202541;New Node Material;Command
202549;Save as Default Scene;Command
202565;New Uber Material;Command
202586;New Default Material;Command
202623;New Grass Material;Command
202624;New Hair Material;Command
202625;New PyroCluster Material;Command
202626;New PyroCluster VolumeTracer Material;Command
202627;New Shadow Catcher Material;Command
202628;New Sketch Material;Command
202658;Go to Preview End;Command
202659;Go to Preview Start;Command
202662;Set Min Preview Range;Command
202663;Set Max Preview Range;Command
202664;Delete Keys;Command
202665;Record Animated;Command
202666;Record Hierarchy;Command
202667;Show Position F-Curves;Command
202668;Show Rotation F-Curves;Command
202669;Show Scale F-Curves;Command
202670;Set Range to Markers;Command
202671;Go to Previous Range;Command
202672;Go to Next Range;Command
202673;Create Markers...;Command
202693;Shadow Hinting;Command
202708;Color Space;Command
1000456;PrecisionSelection;11
1000456;PrecisionSelection;Tool
1000460;Chess...;Command
1000468;Attribute Manager;Command
1000468;Attribute Manager;21
1000469;Object Description;18
1000474;Preferences;Command
1000475;Tree View;18
1000478;Filename;18
1000479;Bitmap Button;18
1000480;Gradient;18
1000484;Texture Name;18
1000485;Description Property;18
1000489;Float Slider;18
1000490;Integer Slider;18
1000492;Color Chooser;18
1000495;QuickTab;18
1000498;ChessMoveTool;11
1000498;ChessMoveTool;Command
1000498;ChessMoveTool;Tool
1000552;Color Correction/Gamma Correction...;7
1000553;Blur/Blur...;7
1000554;Other/Matrix...;7
1000555;Stylize/Emboss (Matrix)...;7
1000556;Sharpen/Sharpen...;7
1000557;Blur/Smooth...;7
1000558;Other/Deinterlace...;7
1000559;Pixelate/Mosaic...;7
1000560;Blur/Motion Blur...;7
1000561;Distort/Magnifying Glass...;7
1000562;Distort/Whirl...;7
1000563;Other/Oil Painting...;7
1000564;Blur/Radial Blur...;7
1000565;Distort/Waves...;7
1000566;Blur/Gaussian Blur...;7
1000567;Noise/Noise...;7
1000568;Noise/Distribute Pixels...;7
1000569;Stylize/Difference Operators...;7
1000570;Stylize/Enhance Details...;7
1000571;Stylize/Enhance Structures...;7
1000572;Stylize/Texture Blend...;7
1000573;Noise/Despeckle...;7
1000574;Sharpen/Unsharp mask...;7
1000575;Stylize/Emboss (Texture)...;7
1000576;Other/Invert;7
1000578;Blur/Selective Blur...;7
1000579;Color Correction/Levels...;7
1000580;Pixelate/Threshold...;7
1000581;Send project back...;Command
1000582;Color Correction/Hue, Saturation - Colorize...;7
1000970;Caustics;VideoPost
1000974;Make Preview...;Command
1000996;Lens Glow;18
1001001;Look at Camera;Tag
1001001;Look at Camera;Command
1001002;Atom Array;Command
1001002;Atom Array;Object
1001003;Spherify;Command
1001003;Spherify;Object
1001005;PyroCluster;2
1001006;PyroCluster - VolumeTracer;2
1001007;Object Glow;VideoPost
1001008;Color Correction;VideoPost
1001009;Cel Renderer;VideoPost
1001010;Sub-Frame Motion Blur;VideoPost
1001012;Soft Filter;VideoPost
1001013;Sharpen Filter;VideoPost
1001014;Median Filter;VideoPost
1001015;Remote;VideoPost
1001019;Selector;Command
1001020;STL (*.stl);15
1001020;STL (*.stl) Import;35
1001021;STL (*.stl);16
1001021;STL (*.stl);Command
1001021;STL (*.stl) Export;35
1001025;Cinema 4D (*.c4d);15
1001026;Cinema 4D (*.c4d) Export;35
1001026;Cinema 4D (*.c4d);16
1001033;VRML 2 (*.wrl);15
1001033;VRML 2 (*.wrl) Import;35
1001034;VRML 2 (*.wrl);Command
1001034;VRML 2 (*.wrl) Export;35
1001034;VRML 2 (*.wrl);16
1001035;DXF (*.dxf) Import;35
1001035;DXF (*.dxf);15
1001036;DXF (*.dxf);Command
1001036;DXF (*.dxf) Export;35
1001036;DXF (*.dxf);16
1001037;3D Studio (*.3ds);15
1001037;3D Studio (*.3ds) Import;35
1001038;3D Studio (*.3ds);Command
1001038;3D Studio (*.3ds) Export;35
1001038;3D Studio (*.3ds);16
1001045;Illustrator 8 (*.ai) Import;35
1001045;Illustrator 8 (*.ai);15
1001046;DEM (*.dem);15
1001046;DEM (*.dem) Import;35
1001047;Direct 3D (*.x) Export;35
1001047;Direct 3D (*.x);16
1001047;Direct 3D (*.x);Command
1001048;BVH (*.bvh);15
1001048;BVH (*.bvh) Import;35
1001049;Lens Effects;VideoPost
1001058;Convert HDR Cross...;Command
1001059;Convert HDR Probe...;Command
1001066;Shader;18
1001072;Material Editor;Command
1001083;Command Line;Command
1001084;Script Manager;Command
1001084;Script Manager;21
1001101;Xpresso Node;11
1001102;Xpresso Node Group;11
1001103;GvNodeMaster;11
1001138;XPresso Pool;Command
1001143;XDummy;11
1001144;XGroup;11
1001145;XPresso Manager;Command
1001147;GvHook;SceneHook
1001148;XPresso Editor;21
1001148;<unnamed>;Command
1001149;XPresso;Tag
1001149;XPresso;Command
1001186;Cylindrical Lens;VideoPost
1001191;Ambient Occlusion;Shader
1001194;Color Mapping;VideoPost
1001197;Subsurface Scattering;Shader
1001253;Legacy Polygon Reduction;Command
1001253;Legacy Polygon Reduction;Object
1001379;HDR;14
1001381;Particle Group;11
1001382;PStorm;11
1001400;Depth of Field;VideoPost
1001401;Glow;VideoPost
1001402;Highlights;VideoPost
1001403;PGetData;11
1001404;PSetData;11
1001405;P Pass AB;11
1001406;PAge;11
